name,description,price,stock,discount_percentage
Longos - Lasagna Beef,"",$40211.17,19,65
Baking Powder,"",$42391.17,73,77
Ginger - Crystalized,"",$11652.31,6,72
Mussels - Frozen,"",$32095.87,31,57
"Noodles - Cellophane, Thin","",$74116.26,39,44
Lamb - Ground,"",$86995.89,31,80
Smoked Paprika,"",$6386.88,23,21
"Artichoke - Hearts, Canned","",$15493.10,5,78
Sugar - Fine,"",$37180.21,67,12
Tea - Herbal I Love Lemon,"",$60255.41,37,60
Celery,"",$57348.32,92,25
Ecolab - Hobart Upr Prewash Arm,"",$59217.29,21,90
Island Oasis - Strawberry,"",$50726.31,9,7
Steamers White,"",$10477.80,86,55
Tea - Lemon Green Tea,"",$67407.98,45,86
Soup Campbells Split Pea And Ham,"",$28853.45,62,56
Muffin Mix - Morning Glory,"",$39471.26,21,55
Veal - Inside,"",$81084.54,45,77
Mushroom - Porcini Frozen,"",$49508.97,80,74
Wine - Maipo Valle Cabernet,"",$98429.75,17,8
"Fish - Soup Base, Bouillon","",$20514.50,35,56
Vinegar - Rice,"",$4419.65,13,17
Mortadella,"",$12117.24,23,99
Lamb Rack Frenched Australian,"",$87666.08,39,40
Wine - Blue Nun Qualitatswein,"",$46027.35,55,48
Olives - Morracan Dired,"",$37012.08,50,61
Cheese - Swiss,"",$72489.57,84,22
Bread Base - Goodhearth,"",$87151.43,93,2
Mousse - Banana Chocolate,"",$96878.08,69,39
Lettuce - Sea / Sea Asparagus,"",$56151.29,73,55
Apricots Fresh,"",$6156.69,11,80
"Wine - Red, Marechal Foch","",$59055.18,7,77
Flour - Chickpea,"",$38895.69,46,3
Extract - Almond,"",$10083.55,15,68
Beef - Striploin,"",$13236.54,14,44
Chocolate - Mi - Amere Semi,"",$58426.41,67,88
Poppy Seed,"",$24690.36,62,30
Waffle Stix,"",$81081.71,24,8
Eggplant - Regular,"",$60277.13,56,67
Brandy - Bar,"",$25266.70,30,42
Soup - Base Broth Chix,"",$200.77,99,70
"Seedlings - Buckwheat, Organic","",$20066.53,68,81
"Chicken - Wings, Tip Off","",$73090.97,23,73
Thyme - Dried,"",$6431.83,49,37
Pail For Lid 1537,"",$64399.96,51,3
Pork - Bacon Cooked Slcd,"",$85471.19,91,88
Bouq All Italian - Primerba,"",$66756.42,51,11
Pasta - Fusili Tri - Coloured,"",$5629.19,72,17
Crab - Meat Combo,"",$25336.14,69,2
Carbonated Water - Raspberry,"",$45366.68,93,73
Beans - Butter Lrg Lima,"",$12378.66,18,20
Cake - Miini Cheesecake Cherry,"",$46970.48,48,49
"Pepper - White, Ground","",$33945.79,1,87
Ham - Virginia,"",$25747.07,93,86
Pepper - Green Thai,"",$20409.30,6,83
"Wine - White, Ej","",$83974.90,67,36
Fuji Apples,"",$3164.07,99,24
V8 Pet,"",$38963.70,19,48
Sugar - Cubes,"",$88598.40,20,48
"Pasta - Lasagne, Fresh","",$55943.11,82,96
Pork - Suckling Pig,"",$502.94,77,39
Papayas,"",$28710.06,9,17
Brandy - Bar,"",$90347.20,1,20
Hold Up Tool Storage Rack,"",$34323.89,98,9
Raisin - Dark,"",$9554.97,83,98
"Chilli Paste, Hot Sambal Oelek","",$58145.88,78,27
Salmon - Sockeye Raw,"",$774.78,62,82
Water - Spring Water 500ml,"",$19062.84,65,51
"Leeks - Baby, White","",$86130.22,54,36
Bread - Dark Rye,"",$15012.27,79,19
"Soup - Beef, Base Mix","",$39914.38,81,51
The Pop Shoppe - Black Cherry,"",$65693.93,4,79
Apples - Sliced / Wedge,"",$82855.97,76,64
Bread - English Muffin,"",$13379.76,96,57
"7up Diet, 355 Ml","",$31574.95,30,61
"Wine - Red, Antinori Santa","",$22734.53,78,79
Milk - Homo,"",$70873.00,76,67
Chicken Thigh - Bone Out,"",$4345.22,88,77
The Pop Shoppe - Cream Soda,"",$18084.27,72,12
Cabbage - Savoy,"",$91155.64,64,77
Chickensplit Half,"",$64305.04,94,84
Chocolate Bar - Coffee Crisp,"",$86109.86,100,16
Beef Ground Medium,"",$18865.03,78,84
"Nut - Chestnuts, Whole","",$60430.56,19,52
Lime Cordial - Roses,"",$37034.22,100,37
Sauce - Thousand Island,"",$85481.68,68,52
Quail - Jumbo,"",$72499.05,67,88
Lettuce - Green Leaf,"",$4566.65,39,56
Melon - Watermelon Yellow,"",$31463.15,92,39
Snapple Lemon Tea,"",$91680.55,52,76
Table Cloth 62x120 White,"",$38524.12,71,34
Cheese - Gouda,"",$28053.95,7,48
"Pasta - Orzo, Dry","",$28708.70,10,24
Bread - Kimel Stick Poly,"",$93317.12,91,37
Rabbit - Legs,"",$54272.06,56,98
Muffin Batt - Carrot Spice,"",$97966.93,97,78
Gelatine Powder,"",$28390.23,68,92
Calaloo,"",$13367.88,96,39
Wiberg Cure,"",$44914.47,19,37
Spinach - Baby,"",$30890.84,6,82
Fond - Chocolate,"",$58994.38,21,16
"Lamb - Leg, Boneless","",$43826.45,64,69
Foam Espresso Cup Plain White,"",$34246.60,30,49
"Wine - Magnotta - Red, Baco","",$60859.62,71,79
Cleaner - Pine Sol,"",$91369.67,92,61
Long Island Ice Tea,"",$88463.66,81,60
"Soup - Campbells, Chix Gumbo","",$39780.73,83,65
Aromat Spice / Seasoning,"",$5467.50,28,58
Tea - Herbal - 6 Asst,"",$34161.31,3,58
Mayonnaise,"",$17336.38,16,10
Milk - Chocolate 250 Ml,"",$43663.97,78,42
Beef - Ground Medium,"",$2774.69,29,76
Wine - Chardonnay Mondavi,"",$94640.67,95,5
Bread - Pain Au Liat X12,"",$56113.20,25,20
Melon - Honey Dew,"",$89327.50,15,67
Pastry - Choclate Baked,"",$31282.76,21,35
Steam Pan - Half Size Deep,"",$21270.85,15,41
Sherbet - Raspberry,"",$4532.50,78,37
"Nut - Walnut, Chopped","",$64921.01,77,22
Cookie Choc,"",$32206.39,94,59
Red Pepper Paste,"",$88530.04,30,63
"Club Soda - Schweppes, 355 Ml","",$83649.93,39,8
Island Oasis - Pina Colada,"",$98621.10,13,55
Versatainer Nc - 8288,"",$96509.52,4,8
Teriyaki Sauce,"",$25612.07,13,20
Island Oasis - Cappucino Mix,"",$29300.87,25,25
Beer - Creemore,"",$16249.68,17,93
"Artichoke - Hearts, Canned","",$47966.44,66,36
Paper Cocktail Umberlla 80 - 180,"",$84666.36,97,90
"Wine - White, Mosel Gold","",$2788.14,93,42
Muffins - Assorted,"",$48395.48,80,7
Corn Kernels - Frozen,"",$12837.64,86,59
Wine - Vovray Sec Domaine Huet,"",$6190.17,31,37
Kolrabi,"",$93648.68,49,37
Vinegar - Raspberry,"",$45739.22,41,10
Shrimp - 31/40,"",$36665.85,76,53
"Nut - Walnut, Chopped","",$15683.84,30,99
Beets,"",$2001.18,57,97
Berry Brulee,"",$8740.35,97,76
Sunflower Seed Raw,"",$51126.82,63,19
Cocoa Feuilletine,"",$59512.58,83,34
Compound - Mocha,"",$63660.78,61,93
Compound - Mocha,"",$59609.67,79,54
Sugar - Icing,"",$26161.54,86,41
"Chicken - Thigh, Bone In","",$79649.28,99,79
Beef - Diced,"",$98400.18,90,93
