name,description,price,stock,discount_percentage
Vodafone 360 H2,"",$42812.81,30,89
LG G Pad III 10.1 FHD,"",$24071.17,78,26
Nokia Lumia 1020,"",$23241.64,52,57
alcatel OT 511,"",$11266.85,44,28
Samsung Galaxy M21s,"",$19838.95,99,73
Yezz Monte Carlo 55 LTE VR,"",$70724.65,60,71
BlackBerry Keyone,"",$5702.31,24,10
Samsung E2130,"",$45084.40,23,76
i-mate JAMA 201,"",$20926.52,26,44
Prestigio MultiPhone 5000 Duo,"",$18975.75,69,73
Spice Mi-353 Stellar Jazz,"",$81787.73,22,19
NEC N343i,"",$16218.30,66,52
Amazon Fire Phone,"",$963.99,63,94
Samsung P6210 Galaxy Tab 7.0 Plus,"",$7976.09,49,8
LG Xenon GR500,"",$98154.64,66,3
Wiko Upulse,"",$60124.50,96,93
ZTE Blade X5,"",$19430.17,74,6
Maxwest Gravity 5 LTE,"",$38964.24,93,50
Lenovo Vibe K5 Plus,"",$20235.94,59,60
Asus Zenfone 5 A501CG (2015),"",$95100.02,98,56
alcatel OT-E230,"",$1382.60,73,1
Vodafone Smart speed 6,"",$33726.55,9,100
Karbonn A9+,"",$8712.36,23,68
BLU Studio G Plus,"",$88949.38,22,71
Motorola W208,"",$38578.34,71,7
Panasonic G60,"",$6900.44,71,97
Lenovo A5000,"",$75813.24,46,66
Bird S799,"",$35417.11,62,17
Samsung Galaxy J2 Pro (2018),"",$53500.90,71,28
Motorola EX201,"",$4982.26,45,46
Gionee A1 Plus,"",$45221.93,85,64
Plum Gator,"",$40985.18,53,86
Microsoft Lumia 950 XL Dual SIM,"",$19823.35,38,57
Gigabyte GSmart MW998,"",$17234.46,29,92
Sony Ericsson W888,"",$93920.00,27,70
Sony Ericsson K310,"",$557.85,15,99
Sagem MY V-85,"",$38563.72,73,39
Micromax Q50,"",$45833.48,1,60
Plum Trigger Pro,"",$91557.55,9,71
Mitsubishi Trium Galaxy,"",$99508.35,2,68
Samsung I9190 Galaxy S4 mini,"",$56645.70,74,45
Samsung V820L,"",$11326.61,54,48
Nokia 6810,"",$56009.71,35,58
Nokia 3200,"",$41337.13,44,79
Samsung Galaxy Note 4 (USA),"",$66256.91,71,38
alcatel One Touch Evo 7,"",$53907.84,28,77
Celkon C2,"",$29984.07,75,86
LG G1600,"",$94244.10,79,15
LG Watch Urbane 2nd Edition LTE,"",$38425.48,55,97
Spice Mi-496 Spice Coolpad 2,"",$10268.99,43,24
BlackBerry Storm 9500,"",$34689.70,64,54
O2 X2,"",$88220.75,39,55
Motorola Quench XT5 XT502,"",$23213.10,86,71
Sharp GX10i,"",$7913.24,22,17
T-Mobile Concord,"",$70740.50,100,79
Nokia 5.1,"",$47594.73,17,25
Sony Ericsson Z800,"",$9092.29,72,7
Vertu Constellation Ayxta,"",$52347.66,49,59
XOLO A500S Lite,"",$85793.20,86,16
ZTE Blade G,"",$40719.11,60,57
Lenovo S5,"",$51039.63,21,74
Lenovo A6010,"",$13912.79,8,98
Philips X703,"",$4730.31,57,7
Pantech C790 Reveal,"",$95246.54,92,80
